X,internet,tv,radio,newspaper,chart_type,title,x-title,y-title
1999.9,21.8,79.5,26.6,47.3,Line,news resources,year,percent
2000.9,22.3,75.2,24.2,62.7
2001.9,26.1,89.6,22.3,55.9
2002.9,30.0,93.9,19.4,50.2
2003.9,30.9,79.5,17.9,47.8
2004.9,32.4,80.0,15.1,44.4
2005.9,37.7,84.3,13.1,50.2
2006.9,38.1,84.8,11.2,61.2
2007.9,43.9,72.8,11.2,59.3
2008.9,45.4,84.8,9.3,64.6
2010.0,67.0,77.6,9.3,49.7
2011.0,74.7,96.3,6.9,68.4
2012.0,75.6,85.7,5.9,68.4
2013.0,77.6,79.5,2.1,62.7
2013.7,78.0,79.0,0.6,49.2
