X,producta,product b,product c,chart_type,title,x-title,y-title
2000.9,93.5,807.5,103.0,Line,product sales of a company,year,sales
2001.9,40.7,774.0,122.2
2002.9,69.5,754.8,165.3
2003.9,64.7,716.5,174.9
2004.9,88.7,702.1,246.8
2005.9,88.7,668.5,270.8
2006.9,55.1,625.4,280.4
2007.9,31.2,582.3,304.3
2008.9,88.7,563.1,318.7
2009.9,16.8,500.8,414.5
2010.9,69.5,476.8,433.7
2011.9,55.1,467.3,433.7
2012.9,55.1,318.7,457.7
2013.9,93.5,251.6,472.0
2014.9,88.7,222.8,486.4
2015.0,88.7,218.1,486.4
